"Acad Org","Class Nbr","Subj","CRS","Session","Cmp","Sctn","Days","Start Time","End Time","Mtg Start Date","Mtg End Date","Duration","Instruction Mode","Campus","Loctn","Building","Room","Instr","Status","Enrl Cap","Enrl Tot","Wait Cap","Wait Tot","Cmbnd ID","Cmbnd Descr","Cmbnd Enrl Tot","Cmbnd Enrl Cap"
" "," "," "," "," "," ",=" ","TUTH","09:45 AM","11:05 AM","23-AUG-2021","16-DEC-2021","   80","Online/In Person - Hybrid","WEST"," ","ONLINE",="TBA","Steven Skiena"," "," ","      0"," ","      0"," "," "," "," "
"COMPSCI","90761","CSE"," 527","A","LEC",="01","TUTH","06:30 PM","07:50 PM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","WESTCAMPUS","TBA",="TBA","Dimitrios Samaras","A","    120","      0","     20","      0"," "," "," "," "
"COMPSCI","90725","CSE"," 529","A","LEC",="02","TUTH","03:00 PM","04:20 PM","23-AUG-2021","16-DEC-2021","   80","Online Synchronous","WEST","ONLINE","ONLINE",="TBA","Jiaqiao Hu","A","     26","      0","      0","      0","0401","AMS553.02/CSE529.02","    0","   52"
"COMPSCI","91493","CSE"," 532","A","LEC",="01","MW","06:05 PM","07:25 PM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","WESTCAMPUS","TBA",="TBA","Michael Kifer","A","    100","      0","     18","      0"," "," "," "," "
"COMPSCI","91419","CSE"," 534","A","LEC",="01","MW","08:30 AM","09:50 AM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","WESTCAMPUS","TBA",="TBA","Aruna Balasubramanian","A","    103","      0","     20","      0"," "," "," "," "
"COMPSCI","91468","CSE"," 535","A","LEC",="01","MW","11:40 AM","01:00 PM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","WESTCAMPUS","COMPUTER SCI",="2120","Scott Stoller","A","     75","      0","     26","      0"," "," "," "," "
"COMPSCI","91462","CSE"," 537","A","LEC",="01","MF","01:00 PM","02:20 PM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","WESTCAMPUS","TBA",="TBA","I.V. Ramakrishnan","A","    160","      0","     35","      0"," "," "," "," "
"COMPSCI","91464","CSE"," 538","A","LEC",="01","TUTH","03:00 PM","04:20 PM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","WESTCAMPUS","TBA",="TBA","Niranjan Balasubramanian","A","    150","      0","     30","      0"," "," "," "," "
"COMPSCI","93963","CSE"," 541","A","LEC",="01","TUTH","08:30 PM","09:50 PM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","WESTCAMPUS","TBA",="TBA","Anita Wasilewska","A","     50","      0","      0","      0"," "," "," "," "
"COMPSCI","89264","CSE"," 548","A","LEC",="01","MW","02:40 PM","04:00 PM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","WESTCAMPUS","TBA",="TBA","Michael Bender","A","    150","      0","      0","      0","0612","CSE548/AMS 542.01","    0","  150"
"COMPSCI","95491","CSE"," 582","A","LEC",="01","TUTH","04:45 PM","06:05 PM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","WESTCAMPUS","TBA",="TBA","Pramod Ganapathi","A","     80","      0","      0","      0"," "," "," "," "
"COMPSCI","95511","CSE"," 590","A","LEC",="01","TUTH","06:30 PM","07:50 PM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","WESTCAMPUS","TBA",="TBA","Barbara Chapman","A","     50","      0","      0","      0"," "," "," "," "
"COMPSCI","95493","CSE"," 594","A","LEC",="01","MW","07:50 PM","09:10 PM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","WESTCAMPUS","TBA",="TBA","Shuai Mu","A","     50","      0","      0","      0"," "," "," "," "
"COMPSCI","89047","ISE"," 218","A","LEC",="01","MF","01:00 PM","02:20 PM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","WESTCAMPUS","TBA",="TBA","Michael Tashbook","A","    140","      0","     10","      0"," "," "," "," "
"COMPSCI","90728","ISE"," 300","A","LEC",="01","TUTH","11:30 AM","12:50 PM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","WESTCAMPUS","TBA",="TBA","TBA","A","     35","      0","      0","      0","0237","CSE/ISE 300.01 xlist","    0","   35"
"COMPSCI","90729","ISE"," 300","A","LEC",="02","TUTH","01:15 PM","02:35 PM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","WESTCAMPUS","TBA",="TBA","TBA","A","     35","      0","      0","      0","0398","CSE/ISE 300.02 xlist","    0","   35"
"COMPSCI","89050","ISE"," 300","A","LEC",="03","TUTH","03:00 PM","04:20 PM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","WESTCAMPUS","TBA",="TBA","TBA","A","     35","      0","      0","      0","0580","CSE 300.03/ISE 300.03","    0","   35"
"COMPSCI","91159","ISE"," 300","A","LEC",="04","TUTH","09:45 AM","11:05 AM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","WESTCAMPUS","TBA",="TBA","TBA","A","     35","      0","      0","      0","0693","CSE/ISE 300.04xlist","    0","   35"
"COMPSCI","91459","ISE"," 300","A","LEC",="06","MWF","10:30 AM","11:25 AM","23-AUG-2021","16-DEC-2021","   55","In Person","WEST","WESTCAMPUS","TBA",="TBA","TBA","A","     35","      0","      0","      0","0650","CSE300.06/ISE300.06","    0","   35"
"COMPSCI","90702","ISE"," 305","A","LEC",="01","TUTH","01:15 PM","02:35 PM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","WESTCAMPUS","TBA",="TBA","Praveen Tripathi; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA","A","    150","      0","     30","      0"," "," "," "," "
"COMPSCI","89057","ISE"," 312","A","LEC",="01","MW","06:05 PM","07:25 PM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","WESTCAMPUS","TBA",="TBA","Michael Tashbook","A","     85","      0","      0","      0","0541","CSE/ISE 312.02","    0","   85"
"COMPSCI","91414","ISE"," 312","A","LEC",="02","MW","07:50 PM","09:10 PM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","WESTCAMPUS","TBA",="TBA","Michael Tashbook","A","     85","      0","      0","      0","0812","CSE312.03/ISE312.03","    0","   85"
"COMPSCI","89046","ISE"," 321","A","LEC",="01","TUTH","11:30 AM","12:50 PM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","WESTCAMPUS","TBA",="TBA","Ahmad Esmaili","A","     80","      0","     14","      0"," "," "," "," "
"COMPSCI","95486","ISE"," 331","A","LEC",="01","MF","01:00 PM","02:20 PM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","WESTCAMPUS","TBA",="TBA","Christopher Kane","A","     80","      0","      0","      0"," "," "," "," "
"COMPSCI","91585","ISE"," 332","A","LEC",="01","TUTH","08:15 PM","09:35 PM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","WESTCAMPUS","TBA",="TBA","Klaus Mueller","A","     40","      0","      0","      0","0030","CSE/ISE332.01","    0","   75"
"COMPSCI","94625","ISE"," 333","A","LEC",="01","TUTH","03:00 PM","04:20 PM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","WESTCAMPUS","TBA",="TBA","Anthony Scarlatos","A","     14","      0","      0","      0","0056","CS/ISE333.01","    0","   50"
"COMPSCI","89101","ISE"," 334","A","LEC",="01","TUTH","11:30 AM","12:50 PM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","WESTCAMPUS","TBA",="TBA","Anthony Scarlatos","A","     23","      0","      0","      0","0083","CSE/ISE 334.01 xlist","    0","   45"
"COMPSCI","93959","ISE"," 337","A","LEC",="01","TUTH","09:45 AM","11:05 AM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","WESTCAMPUS","TBA",="TBA","Joydeep Mitra","A","    200","      0","      0","      0","0043","CSE337.01/ISE337.01","    0","  200"
"COMPSCI","90683","ISE"," 340","A","LEC",="01","TUTH","09:45 AM","11:05 AM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","WESTCAMPUS","TBA",="TBA","Lori Scarlatos","A","     10","      0","      0","      0","0493","EST 310/ISE340.01","    0","   40"
